voter_id,election_id,ballot_id,candidate_choice,timestamp,registration_hash,encrypted_vote,signature,blind_signature,zkp_proof,threshold_shares,ballot_status,is_verified,tally_share,audit_trail_hash,event_type,action_notes
EDSWJN8Q6SAD,2025E3,B00011,CandidateC,2025-09-20T08:06:00,reg_k39vlokvv1o07qzk,enc_hodwhyafe9fntdx0,sig_94be21ehblymcagn,bsgn_3t3d1cbbgq4az6w8,zkp_obu4i89zl6svxb07,"share_hgguq833f3c0c9c6,share_3y1xg6aqf5o8rsl0,share_0rxotc41sfi5qjj7",verified,False,tally_tjla9wablng61w46,a6399eeef193f5a0a5b181ea20ffefc054d66ea7ca98873205459a6fc5deff51,audit,Manual review
NATV32LWN30Q,2025E1,B00012,CandidateE,2025-09-20T16:08:00,reg_xz2wm7n7ooxumte3,enc_81f0mtkgy5tykysf,sig_y850swm7wkiw1bb3,bsgn_ypfxzjt5zno9x0bj,zkp_won4qnrkrn1zua6m,"share_fbp0p2h4gk3eb4ge,share_o7olge2i6voumrxb,share_3ru2iyprgryckfma",submitted,True,tally_huqsuuw5s7w7879b,6a5950019ad54c4f8f8aebec7735c082c855eedee1d3da36d8c3e5e30dbc7c98,audit,OK
B91QN6H51HRX,2025E2,B00013,CandidateE,2025-09-20T17:22:00,reg_0802qlnt5g9xbqgo,enc_hrn8d8wkr09nlzz4,sig_jzsncke967eqgi5q,bsgn_k621k1s6m9js2j1p,zkp_1c8a55p677qm7asy,"share_gza77gm1el1452l1,share_09cvow1jjuzl6qp0,share_kqdf5jqt1ugg1yc5",created,True,tally_d10rlotkaryw9mxz,0595b8184c714bf50d01a31a774dbb118e69958a838d9b5e224ff0149dc0f7f4,tally,OK
M0SLK08ODHOB,2025E3,B00014,CandidateD,2025-09-20T13:06:00,reg_tcitzhky92dmhjtj,enc_lcqqoo95qjdeo7gq,sig_cwoik7e0sgyzuwq3,bsgn_a8bos2sk6mymsecf,zkp_g4tqdjjldxodlojf,"share_hx99thslsas6cg7l,share_mt7yrbmggi26xusi,share_2rvyobk5si6k5tc5",invalid,True,tally_zzbcg3urt9ozz4lg,3642f6f9c4912c0e46f85615ee7a15caaf66d7d4c73f4006b2bc27eb3360d6ac,tally,Late ballot
2FN2QP6S9KU8,2025E2,B00015,CandidateC,2025-09-20T10:06:00,reg_sdvc54w6isu6819w,enc_6v03r74kx02515gd,sig_orlqi0hl5g78y75s,bsgn_gm80cfhav86lbpb8,zkp_j2y1zqh5lzuh6n24,"share_fmw9fecs78vrfddn,share_boxnfqxnummj5lb1,share_a2cfmk6li2554c1l",verified,False,tally_m9z0a3b9h1ls5s94,439ec49c73e7a6a17a6017ee8a5bbe5db94f2b02ebff340e190196fa3319e682,ballotsubmission,Late ballot
MCI9DO0K3IYR,2025E1,B00016,CandidateB,2025-09-20T10:35:00,reg_mfbqhxc07oi8led9,enc_jczqej9bhdn2bs1p,sig_4ydgaul7pq9k387p,bsgn_yy8btayvn933hdq3,zkp_om2dl28zvxhdvwnd,"share_4jqjopzoeq9e5yy1,share_rl5w8vfbwz1coco5,share_3yvxzg7izbuo1sg7",invalid,False,tally_zm8de80yaa6hpxvn,4bbec021e2ed0da2d6fbca35bbeb27b10ab360ca139deda42ce08f3d75ba1653,ballotsubmission,OK
AM1CUM40BBQZ,2025E3,B00017,CandidateA,2025-09-20T15:42:00,reg_bn569hxbl77a1jsb,enc_gqxmcv018y9w6cof,sig_6ym26faeahhnnbjg,bsgn_udg8d9nbnptygy8u,zkp_ksizz1o6zpzz58xy,"share_ssntt2n6xl7bioon,share_37srxid55xwxnygi,share_ql09v1ssmxc7k8lx",created,False,tally_i8vt9wic7hlcaen3,d32558d926ee28bf85c28ce53dc48febb295ae0bdcf40f0fc7994067d77c7cba,ballotsubmission,No issue
YMPBUB03L0GV,2025E1,B00018,CandidateA,2025-09-20T12:26:00,reg_0snryb6x1w3vca9h,enc_ifn4rf72q0ogcm2g,sig_jf16wnd3pbwerppy,bsgn_4331us6c51rk3jpr,zkp_xw3h402clohhv7bd,"share_ma84zap6zno0qsga,share_5v2sa9vi9ohxg0l8,share_9eo2k45i1zuvxx0v",verified,True,tally_djcpw89hitnpbua9,db5d41377aa779e9dd871491805131d41607458f7a64e9debdf96dcdfe775c9e,registration,No issue
T3UAMPCRAX50,2025E3,B00019,CandidateE,2025-09-20T12:48:00,reg_a9buiiec05tecnah,enc_tff3vfg09zr2j3a3,sig_nsk3juhfn3lgsanq,bsgn_8fgydvqhxssg5gin,zkp_lxzhyskee524bhtz,"share_zs37st3tbc6btlph,share_h60mhzu1wpxa8nsy,share_9cdze9w9lxtpx202",submitted,True,tally_w7i3ua23yirwof5h,90285725de2c746eb1b3362b4d21d80f4facbfa3b66b6815e1c3d791efb901be,verification,OK
9VCD7MCR5LHB,2025E2,B00020,CandidateD,2025-09-20T13:24:00,reg_jwrpkkog2kbmpb2w,enc_0tr662nlha5a426h,sig_m57wc3fe5dfv0u20,bsgn_bokfre4y4i6ilzzq,zkp_gbqwjbxkmpjr9zy4,"share_2n6hdeo01ka4f5yx,share_toxkuwrtmo5x3fog,share_morv434qfttp75um",invalid,False,tally_8zr011i5sbcxtq9e,007fbbee0f69c8e5e2cdcd8f3e28d7e5555e0fe2c7542276a725c7ec4f460a71,audit,OK
CJSLTRU6GBD5,2025E1,B00021,CandidateC,2025-09-20T17:06:00,reg_3ow6d70acbjsgmdr,enc_pw2oipfo8h67u8a2,sig_5ck1rc9poj536cep,bsgn_0a5h35ofx7x0dbca,zkp_1ermmaibvdb3rh54,"share_aikf4w2wqe086mjm,share_cal63mig6hxznlmm,share_jzuz2of8emi3o5fq",verified,True,tally_kihmlhjjpnssac2q,7f4df56a234937304e7d44e069e52978616830f0d4ef20f6b7afab9538eace07,tally,OK
LFM940NZH42E,2025E3,B00022,CandidateB,2025-09-20T14:39:00,reg_sakf5uok8nuf4l98,enc_8re1gy6sevk2tsaw,sig_idzktq9hqk31gjjb,bsgn_v5ss8ek8qxhkrlf6,zkp_0of68tsq35mxfg7p,"share_54cienbom4eqkwdq,share_yqqdfr5fnqlc2vnu,share_2we9yx3gzyy4ndy8",invalid,True,tally_37qdsora3mqg29io,e7ec78b6bffbb3ac0eb01c7b35219eb4a39cd7fdf51add637a2651804c137827,tally,No issue
H4SL7FM9SNKA,2025E2,B00023,CandidateB,2025-09-20T17:22:00,reg_4gf3yvyza9xbowv2,enc_6pekb8n7ay5xx8y9,sig_dly7h8ck2lujlq1i,bsgn_41v0aiaigdtbo0io,zkp_2g2a8h9eh91h3u0b,"share_qiwrf23ctbpavjig,share_87fa3brwam4d0606,share_kwkjxr1jwm56zndo",verified,True,tally_gr9ngdhpx2g3b4ei,3575b197a8cc4effce9efcfcd0dcfa350cdee9ee75e17283d0e77c072fa30c2b,registration,OK
PARTO5Z9808R,2025E1,B00024,CandidateA,2025-09-20T15:57:00,reg_dwxaaf8jwi5n7gke,enc_66f7oey56vu8rzuf,sig_n0xlp7bht15f4pdd,bsgn_r0gyinbaqo2fqcx0,zkp_1lg040xldiff8we1,"share_nnldjk335xkyahqx,share_0l1oz3qqzv0oklb6,share_uise8h2m9a674hin",invalid,False,tally_atq410r353iedxn7,43397b0aa1eaec62237077420ccb3eb35c23de10981cf986df94bfd54590ee79,registration,No issue
FZKUZRQ1L4NV,2025E2,B00025,CandidateD,2025-09-20T10:36:00,reg_xx0qflly4laxz7wh,enc_70jux07rk70bhl3i,sig_l0a35la36c52nqdb,bsgn_q9sdw2y3uh3b52nv,zkp_4n8xv00o5w7cqy6c,"share_vg1dqhms5h2eqepw,share_ddrtglauf2mbyuhq,share_werfwp65jn1nvaeu",created,False,tally_elskqm3t4jkrmp65,2b38fa58e7c7a836d87de37b8f5f726ed6a7f696f538944c2065c57801ba0bf7,verification,OK
7O0245LYY2VL,2025E2,B00026,CandidateA,2025-09-20T15:43:00,reg_uk6jtf813zhu5z13,enc_0a1i9n4gruw7crj0,sig_dbkq94ku1wgjg5y0,bsgn_nubfpwn87uuymtad,zkp_6kl9cl07aklkildw,"share_e44qme7a0x069q5z,share_5mo9ptjbp1hnteez,share_2rcha69t5k0xpeta",verified,True,tally_38i155508iw5qdln,d3f1bccb8aaf89a46bdb873ffb777ec35ea904bdd710aaec2d7b506fff3361c9,registration,Manual review
2CX94KZQNG12,2025E3,B00027,CandidateA,2025-09-20T17:30:00,reg_lxnuyzidfx8hke3q,enc_bfh43ag66lizo6am,sig_o0i28psdoqsdh2dy,bsgn_xftwctlcf7pyd5th,zkp_i1wkbz7bwt4oidg7,"share_xfvjl221qzxch77i,share_aidmjs412h0r5bjq,share_girtphcvs2wy3yy2",created,False,tally_6xrmjhi83kmxi5c8,7c5204de47865b14d99e1922d8ef1fc8043293f5fe006beace0363faeb39532e,verification,Manual review
ITOHEK98XTBD,2025E1,B00028,CandidateD,2025-09-20T14:01:00,reg_s0ve16rdnpaapi9s,enc_4aujmtrdi5nw8auo,sig_w5zu6wfji6sjq30s,bsgn_hog4jobaawku8kl9,zkp_55lycd2skf3imiie,"share_9tqahlc5o3pg2yee,share_3pd6jwlg7ntrrhov,share_qhig7bx4pv58e1lx",invalid,True,tally_xgklo37h5xjh8ej6,7536c5b6d213a5dd35ea36478c76ace3441d20cd4202c19f4f23cdadfb58409a,ballotsubmission,OK
4ABQYXI3LFFD,2025E2,B00029,CandidateC,2025-09-20T15:17:00,reg_3nzv4mrltupe5jbx,enc_bw3ijpmwnmeqwabt,sig_lnejeus3zfdkvvl1,bsgn_813xd60okkycgybh,zkp_wruthr1a6z6k0wky,"share_xlt8ju20nj43hsod,share_d5r8ifodfubnjhu3,share_o4ty5zj9bzb0yuie",created,True,tally_ls8w3ee2t224ht8h,f20f7800a80fc03a61a2ba3749aaac89f66f6e046371c322eb55d61bd7ad7cc5,tally,Late ballot
Z0HCGQAQ1TTA,2025E2,B00030,CandidateB,2025-09-20T15:52:00,reg_fcthi62hqlmjooxe,enc_4070kapspzoax3l5,sig_xl2wrpmjkz4puddp,bsgn_xmnhpom6nuemxpzh,zkp_1di6ud0inxsdmtik,"share_vc8fwq37zc98gwl2,share_0ygc76rkexzwnf6h,share_kgph11g43qb7ltpl",submitted,False,tally_863cyfqhae3c60vi,3891ef0026dda56c13f2a8b3db31f77f6db5bcfc0f06230e0ea08cb3f91bb1af,audit,No issue
0GMGJZ6VYQPT,2025E3,B00031,CandidateD,2025-09-20T10:29:00,reg_yssatypvd0oiweq3,enc_z4udhpmw6paondal,sig_xaxdxesp8wsrtile,bsgn_l8tw5ieu8f2bos3p,zkp_812nxqyx0nkogo8x,"share_h71224wnv2waju8n,share_tmc46y4yhbs9u3m8,share_p1npmmdfj93bofdu",verified,True,tally_hmuuvk4514j9u21s,ecae9511071fff8b4468d1b9de7fd69b7a6a16d8256eca0cc67583bd97272c60,audit,OK
BMWJ45RETH9E,2025E1,B00032,CandidateC,2025-09-20T09:09:00,reg_gudfkfngn2cm0zca,enc_2s58xywtdkw7lsr4,sig_kste40u5lm88w6c2,bsgn_2686h42qvzgz6fp4,zkp_663u5b0x9eoylv7f,"share_j2nn94bto6tvtitz,share_riztu2edfk0kcgfe,share_7leharepmcct356f",submitted,True,tally_ywe040s0w1wu0s53,705cba923df5a4622c0334fabbe0fc67f8bd6f8af6af0e2a8e3d83b62783ec2a,registration,No issue
U09RX0LN8NQQ,2025E1,B00033,CandidateE,2025-09-20T09:41:00,reg_gggon9ig3pog2454,enc_sjfig7duz5yzd8pu,sig_ayq5h1zodza8ae13,bsgn_shwbwa9jbn1idkw0,zkp_h1pqt25a5708q1uh,"share_gw67ud2h2wyfv85d,share_3iy4l7ja5ys6ogxb,share_zr5hd484hulq12ji",created,True,tally_w2gl1fe15ng3qp1j,c6b93e0dee36c82316776000a2f3013bf367f0b596eb83c29cab9dc69be9ac68,verification,OK
17PQI3ENTBO0,2025E2,B00034,CandidateC,2025-09-20T12:47:00,reg_x11v8ya3zmcyuvj1,enc_gaxu67ae0k7zh9v2,sig_7hncp1jxj3cc4wbj,bsgn_wpm0hjmoefe5z3ht,zkp_h918rufgenfdokci,"share_k3zo8bh3h1ul3c03,share_gglsvd4qu4prcjmw,share_jsuju4avsnui4jdz",invalid,False,tally_pxnc05eurbg90h2r,1b8a033f3b4a5fa96e4ad8a7acf3d6b061bc10a8e9373aaed04fa5c91aefc9de,verification,No issue
JMCI2CHNDVAM,2025E3,B00035,CandidateD,2025-09-20T12:29:00,reg_villsd3ak5ku49p1,enc_2fsdk1slytcnxxkb,sig_aydv6k4oqzhcghox,bsgn_5wgjzu3tkwqwzxiv,zkp_468ped02lzrltfui,"share_qdu10pzaejxhkvbh,share_30go57h5311e52va,share_n1kenyy3v286jj6g",verified,False,tally_mdwl47satmvyafj8,a641a7b507852f2f7e941510f05fb0096e43728d15751da7a633fba3fd74b886,tally,No issue
5WJH6PP3BKIX,2025E1,B00036,CandidateC,2025-09-20T17:42:00,reg_jmbgexv0v1uu0yxg,enc_qpzzqldke4q1uvnh,sig_c8afr6lf56ue2xnx,bsgn_5py7u6wg3bgki5rb,zkp_65i6g5f6qliuqhol,"share_f635ig4svnh388kp,share_ft98nuoe9h05zq5t,share_tmgu8hq8cwxof357",submitted,False,tally_cjbh01lgtle598qc,d942ea45ae8b45ac439ef864dd9cae8833d33c98236fdd34d3e1510d993b451a,verification,Late ballot
9VN117XLZZ16,2025E3,B00037,CandidateB,2025-09-20T08:21:00,reg_dgtprv0orpxmkxgl,enc_3f6s558gy5rvpkpa,sig_6khhh7ajv9g2ynbo,bsgn_zs79cd7d6dxk4721,zkp_x1hyjidgwsdy3ic7,"share_d8cly0soagcn5tq7,share_etgxxtwex0rnecyb,share_pti7ydy0r313nik2",created,False,tally_9dmrqlwc37dp59dn,6f0856c6e5e6137ec43d925861002ba1c1606c6a9cb877d1569c71c046716143,ballotsubmission,No issue
50EYOOLTZEAT,2025E1,B00038,CandidateD,2025-09-20T11:40:00,reg_y8sge0ydoxsbfymw,enc_jm1lb2o7wsk9tgnm,sig_voihqsxe7jrvvtne,bsgn_u344wehw8dfrujib,zkp_yxcrwku9fw6rkqb6,"share_wkpahla1ml84xy6l,share_uqzg4l8mm0e64u6l,share_a67s57789syoypu0",created,False,tally_j56e4xkkhm99ob7c,7446e180238eb3493861484303ec57b480d558afe9728624117d1d8fff163cbf,tally,Late ballot
G1K7PD0ZOS5H,2025E1,B00039,CandidateE,2025-09-20T09:46:00,reg_ohaj0xjhuwmnyl18,enc_lp2goa1a7k0wypl2,sig_q9yrm7saovlkq14m,bsgn_qcfu0iauvyypw2ou,zkp_fn3sgjnmnda2pi9t,"share_k9tyt36sodbfcrlp,share_tfgda9wgea60n8cp,share_kcx4056vayispg08",verified,True,tally_5x72988yl5cpjnfd,b761638174c4404da2e55adf3e202726e2b16d10973f45dfb894f0507fb14109,audit,OK
FJ5QM2AJPLO5,2025E3,B00040,CandidateE,2025-09-20T12:42:00,reg_vpmgmx693o77p294,enc_2q7l6o3hx58on773,sig_3cq15vjv5k2379in,bsgn_3xr2sclngutg6ow1,zkp_fgnmyzvg0h9kzth9,"share_nn0ycylleyiqr278,share_87wmj3w2dcx9wlnf,share_57wzh1bu0yrp71no",verified,True,tally_jzm6wl7witiyidyr,491f9577b14805ec23464320758d58c29b73204cfe599fde5e5314d770febe1b,verification,Late ballot
GQQA9APE2IQ1,2025E1,B00041,CandidateB,2025-09-20T12:26:00,reg_q9dbig7sawy46kx1,enc_ws413xvutzgckzpj,sig_rairtc5qkflsr0fu,bsgn_tugofkdlfzt5xdqb,zkp_m0r0l0tzqbeztah3,"share_lhhprenrpczqnfie,share_ax13viewbp7flszb,share_ldmk1hwgikv3o68w",created,True,tally_ezznu45dmi5dzcdo,91d22637b162a61a32f8d637bae0bca7615d4069362dbaa6b206c842a02ee866,ballotsubmission,No issue
QWOFR4LH2E1K,2025E1,B00042,CandidateE,2025-09-20T11:40:00,reg_ytxd99xbr6lf8ccw,enc_fruhihllpnwd7kn8,sig_3ee6v3jd4sca0ls2,bsgn_in3nhu4rqz36edh1,zkp_jy3swho9w3sax6b1,"share_dccc9ehla0tmrxpl,share_5qmivs7p6b35kslk,share_yvaxjj5j4hzl67ak",verified,True,tally_9g9u8dipelisr9f3,fd4aa2a5cde8475eb42edcd46c2bd42b5fa26ec7a50861da91fc0c3e1fa0338c,registration,Late ballot
LF1G3LD8FQXP,2025E2,B00043,CandidateD,2025-09-20T14:52:00,reg_ko7x4mi568usg2vg,enc_2n8sofnupxr07em2,sig_56bryg54byc62k74,bsgn_ted4ipy4ub8xymo4,zkp_s7giebaf0g8slskr,"share_cyatnom64pfhobhy,share_oevb2djpw9y9tljn,share_nk5dsuj29mcxaram",invalid,False,tally_yhvsa11kgvh86o2o,7fd9aad7c8fd111f7164c6c7d417f337c6493a86118404bdc4eef4b903c09842,ballotsubmission,OK
PKLHEDMJVYRV,2025E1,B00044,CandidateA,2025-09-20T14:47:00,reg_91rdcl5di7jsinue,enc_lk4fcpoifl8zbd3r,sig_r49bgy8kgyr6fgwc,bsgn_mw297bp5txzkcjkb,zkp_5ghjbny23k01e6d9,"share_21i3ow69ynwrghn8,share_ujcfa4kffv0np8u2,share_eqozb2ssh9l48npf",invalid,True,tally_9zghwp3johukonge,85658d6da3c7bd00ca4c57b2e3f092e8aa3f34d595ae7c46ddcb515e2c7c135d,verification,OK
EMJT1Y17KOD8,2025E2,B00045,CandidateD,2025-09-20T15:28:00,reg_ffeci5avb091x97e,enc_tqimgtnsd6qsa4wa,sig_1hegtsqibp7dfsdm,bsgn_e29023jy63kgm41a,zkp_86wg958cc5lt0hcv,"share_6igqwil4ag7ul0vs,share_4e2jzc82bctejm9g,share_45swds59445owpt7",submitted,True,tally_vcx30uf1sj67zgxn,d18270cb6947c68549f47b710352cc2b2d133293e93616905be467a9959b1da7,verification,Late ballot
YC8FXBPXOWOP,2025E3,B00046,CandidateE,2025-09-20T17:40:00,reg_d8z5bapf5586l67o,enc_otp7vvhcbm035b1u,sig_784udl5j2z5jt1ld,bsgn_e8u0whcjjzclap2x,zkp_a08qk17tvjutjl6b,"share_1cpj16blivpdrd32,share_mwkoc448uzyletzy,share_8mb834669fa5kh0a",submitted,True,tally_2equ90lek0qm2nan,5441a8f99588bb0478b71aa6c16e82e0b950dbff32bef85ee32d000b443bea46,audit,Manual review
ICB3GJV9179P,2025E3,B00047,CandidateA,2025-09-20T09:31:00,reg_j0baiuuky5iw2n08,enc_yr4f1uq5qpawpp6b,sig_72pxhv6akdzmue9b,bsgn_tqicnqde850m63qs,zkp_hg30ieku25n694om,"share_3f9a07indbgpqcld,share_plho2sv3ulm0w5we,share_5gjnofgfngbfd6w3",created,True,tally_q3fhtgn6dxeq16o3,2c3dc55c52568ad2bb9fe123448c30e33384af27f9d7e51076a73e30e8e00eb4,registration,No issue
1WGJBB5IN2OJ,2025E1,B00048,CandidateD,2025-09-20T09:04:00,reg_s3g5lt91j9g6o955,enc_nq7z4opej26caldd,sig_m8kgnmgw3ti2pi4t,bsgn_u1ofwwuha6tk65nn,zkp_rb23nze67ozq7yrj,"share_ua02dg31dsrfieaf,share_04k3ddwy8o7zgosu,share_tmm1jr0tgxeyphnh",invalid,False,tally_sq50yzohyfcs2e1e,f4664b6f6839b4f02d8748f147f630d0597a8718f57100542f33778ed38901f7,tally,Manual review
GLL21NYDYJEO,2025E2,B00049,CandidateB,2025-09-20T16:53:00,reg_w68u2638fadra7p3,enc_dk664b0cp5gc7pr4,sig_buwxtgctwdcwmnef,bsgn_nqr5m2gxotmhknay,zkp_m9sydqn76zlpu1pl,"share_c3vqxuooo8e9oowg,share_3vgancbtin1p4vhh,share_51lafkbqss0qd3mj",submitted,True,tally_lif961r894fmadbg,1cfb7cb6692703fce8743f6642bb2ef33e65fa5a8419b977ee32739bfa195729,registration,No issue
Q80WUAKTA5F7,2025E1,B00050,CandidateE,2025-09-20T08:47:00,reg_0ereth9fft2thyjb,enc_tq0mw5na2x8z5pe7,sig_rzw36ykqb7kuydwn,bsgn_mgvp4hamxe6fvv4h,zkp_1av9o7ns4zp86r5p,"share_qdnx24p8w42jd2vk,share_vb9nihdjqvyjjpo3,share_rfyodnmql1pwplxs",invalid,False,tally_baf71reilxe6o57s,ced01d76953ba3aea390d1c82b987c8c0ebe67e66edcb1db1ed8722e3dc390d6,audit,Late ballot
W94EMQXDBLI5,2025E3,B00051,CandidateB,2025-09-20T09:30:00,reg_1l3zc5cngy5va9el,enc_34c6l07l87ust4nj,sig_6bc5mrsfjgrv5aae,bsgn_7pt12g2z03ill0u2,zkp_kdspndu51gqq8jpi,"share_ifvf2pev58owhcyr,share_zus5y8nwsrqz0btx,share_7cvdphyujbffchap",invalid,False,tally_i8u8dvipuskxc0r8,d2aaede72acd164ba58871973074a7bf7e08d97dd92af29fb81acb080fff9c25,ballotsubmission,OK
R43LP5KN9L63,2025E3,B00052,CandidateA,2025-09-20T11:06:00,reg_c24mv96dzaonllvq,enc_3hdnum2fotrms1po,sig_kqg4vgh7mcytxjlj,bsgn_tkrpeolwq8id5kh8,zkp_nheiwabvu4w11fgv,"share_nizfqpl6yjwyc0wx,share_b9hbpm1x21exfpvx,share_tsmfo2hzntcb4gek",invalid,True,tally_f38cuoa3jtwpanhg,4da32f628729691f4f42434b41d55d56a43ce472a24c0d5c94f03aa3570d4d41,tally,Late ballot
CGRJKIGFRV7W,2025E3,B00053,CandidateA,2025-09-20T13:02:00,reg_4m79k52e360fmoao,enc_ki6x4wyzt7acwp1c,sig_gg3bar412gk7meiv,bsgn_foesgwyohrzcz8tv,zkp_lq61homqcoubb5kf,"share_wx0zk4pkae2i3sis,share_o8jczywmwqt0nl7r,share_1wflv6bdt9n24jod",verified,False,tally_6vf91pjtrow3afrb,cfff42fdef83494195ee1fb317d267f335c0759d87430eed9b14daf8c49e9dcb,verification,Late ballot
ED3D3IR9J7YZ,2025E3,B00054,CandidateB,2025-09-20T08:29:00,reg_ehlc5iiqvhteyb7t,enc_kbp173f41flyfnir,sig_raov9kj2a887ymml,bsgn_lfs1cn58ezuxlwv7,zkp_h4ozcwtxfxxxh1n7,"share_h5xor0iglbzzt1rk,share_k3yplgrna2vs1j59,share_ry9zcb3r0j3d00bg",created,False,tally_ntdvpj1npz35hdwb,798fb16f979f39774ce904eb2aa1bf3b3e6a1ad596910f40dff03ddd98debe01,verification,OK
